Month,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
196307,0.2858,-2.0009,-1.1106,0.2357,0.5276,-1.5435,-1.2321,0.0736,0.2794,0.1336,-2.1679,-2.0051,-1.9248,-0.3091,-1.9614,-0.3643,-1.079,-1.31,-1.6934,-1.4493,-1.2022,-0.0136,0.9542,0.3121,1.3323
196308,4.6057,1.9632,2.3432,2.4017,3.0352,5.8113,5.0393,3.3448,5.2781,5.0242,6.365,3.98,3.2655,3.9775,8.1403,5.8184,5.8998,4.0883,5.8632,6.7233,6.1933,5.2919,5.2631,4.5951,6.7404
196309,-1.0084,-0.4334,-1.9884,0.4671,-2.5286,0.0883,-2.6583,-4.1405,-2.4072,-2.626,-3.7329,-0.9428,1.5251,-2.4801,-2.6356,-3.623,-0.8377,-2.0821,-3.2621,-1.839,-0.6005,-1.1372,-2.9273,0.1429,-0.7901
196310,1.0535,-0.9476,0.5077,2.04,-1.092,4.2487,4.7002,1.0734,3.2942,1.3538,2.177,1.705,1.4828,1.0514,2.415,5.4778,0.1668,1.4156,1.0208,0.8116,1.8786,1.4589,0.4601,4.2545,10.3086
196311,-2.9539,2.3268,-3.734,-2.6974,-3.0004,0.0372,-2.0536,0.4373,-0.7493,-2.7545,-0.1637,-2.5777,-0.4609,-2.3826,-2.8757,-0.9013,-0.6734,-1.2024,0.8711,0.4917,0.9158,-1.1418,-1.1127,1.0033,-4.7867
196312,-1.7412,0.5826,-0.0581,-1.4582,-2.0246,-0.8279,0.0233,0.1209,-0.0145,0.7432,2.1744,-0.7159,1.9801,1.3446,1.0964,1.4682,1.9167,0.9447,2.1337,-1.3345,2.3787,3.9278,2.673,2.15,1.8943
196401,5.4349,4.7538,3.145,4.4173,2.4012,2.9653,1.2698,2.7075,2.3277,0.1679,4.0148,1.4462,3.2012,3.0385,-0.0817,5.3445,2.8596,-1.0934,1.133,-0.0515,3.2016,1.2886,2.4541,4.6296,0.1514
196402,2.2806,-0.2675,3.3666,2.048,2.1912,0.7858,2.5957,4.2164,3.5645,2.0426,3.43,3.2273,2.1916,2.0628,0.1381,3.7105,2.45,2.96,3.0759,2.16,2.4974,1.8355,1.7011,1.1912,1.6507
196403,4.9543,3.6898,1.8444,2.2263,1.1748,6.7188,4.572,3.0799,3.5624,2.3333,8.0394,1.9576,4.8116,1.389,2.4577,6.6297,2.8052,3.3106,3.9353,1.7101,3.0385,3.7353,0.9673,0.6542,0.8799
196404,0.1442,-2.3834,0.7136,2.104,-1.7879,0.3126,-1.5424,-0.8808,-0.3746,0.2139,-1.9104,1.4947,-1.6825,-1.4684,-2.3658,-4.2003,-0.7181,3.5724,-0.2748,-0.8918,-2.1986,0.6865,0.8741,0.3109,4.5901
196405,1.7362,1.1902,-1.4699,-0.2493,-0.4799,4.0898,1.4461,2.7127,0.0446,1.6624,2.6515,1.8834,-0.8149,-1.0733,-0.4032,2.6201,1.7603,1.8688,2.3392,1.0669,1.0375,1.1105,1.0928,1.3366,3.7218
196406,1.4504,1.0435,1.9276,2.0524,0.6947,1.6205,2.1507,1.7816,0.627,2.2502,2.1091,3.2068,1.5113,1.7691,2.6586,0.027,0.6181,2.4111,2.8585,0.3061,-0.1676,2.2393,1.3618,2.3366,1.0745
196407,3.4259,4.2043,2.7071,2.2934,2.4612,1.9171,3.7935,3.9787,2.5025,1.3923,2.7847,1.1392,3.3932,4.0229,2.0932,2.3039,3.1457,2.2159,0.6595,1.1981,2.826,2.8313,2.1482,1.0985,0.8864
196408,-1.7629,0.4356,-1.0395,0.2145,0.382,-2.7448,-0.4829,0.0739,-0.8238,-1.6874,-1.5908,0.3437,0.4954,-0.7997,-0.602,0.6751,0.3171,0.3717,0.756,-1.4096,-0.9754,-0.3058,-1.1646,-2.6225,-0.7014
196409,2.7615,4.1835,3.5247,5.6165,4.5037,6.3289,1.052,1.9784,1.9947,3.0119,4.4896,1.4721,2.9271,2.3639,1.7591,3.9818,3.3447,2.6705,4.3905,4.4157,3.1791,3.9142,2.1309,2.6842,5.1622
